310,334,333.6,0.699205899
310,334,449.2,0.788810638
310,333,587.9,0.316227766
310,334,739.3,0.483045892
310,334,876.5,1.08012345
310,334,1006.5,0.527046277
310,334,,
310,334,,
310,333,,
310,332,,
450,449,,
450,450,,
450,450,,
450,448,,
450,449,,
450,448,,
450,449,,
450,450,,
450,449,,
450,450,,
590,588,,
590,588,,
590,588,,
590,588,,
590,588,,
590,588,,
590,588,,
590,588,,
590,588,,
590,587,,
730,740,,
730,739,,
730,739,,
730,739,,
730,739,,
730,740,,
730,740,,
730,739,,
730,739,,
730,739,,
870,877,,
870,876,,
870,878,,
870,876,,
870,878,,
870,875,,
870,877,,
870,875,,
870,877,,
870,876,,
1010,1007,,
1010,1006,,
1010,1007,,
1010,1006,,
1010,1007,,
1010,1006,,
1010,1007,,
1010,1006,,
1010,1007,,
1010,1006,,
